State,Year,Quarter,Data From,Data To
meghalaya,2020,3,1593541800000,1601231400000
meghalaya,2020,4,1601490600000,1609093800000
meghalaya,2021,1,1609439400000,1616869800000
meghalaya,2021,2,1617215400000,1624818600000
meghalaya,2021,3,1625077800000,1632767400000
meghalaya,2021,4,1633026600000,1640629800000
meghalaya,2022,1,1640975400000,1648405800000
meghalaya,2022,2,1648751400000,1656354600000
meghalaya,2022,3,1656613800000,1664303400000
meghalaya,2022,4,1664562600000,1672165800000
mizoram,2018,1,1514745000000,1522175400000
mizoram,2018,2,1522521000000,1530124200000
mizoram,2018,3,1530383400000,1538073000000
mizoram,2018,4,1538332200000,1545935400000
mizoram,2019,1,1546281000000,1553711400000
mizoram,2019,2,1554057000000,1561660200000
mizoram,2019,3,1561919400000,1569609000000
mizoram,2019,4,1569868200000,1577471400000
mizoram,2020,1,1577817000000,1585333800000
mizoram,2020,2,1585679400000,1593282600000
mizoram,2020,3,1593541800000,1601231400000
mizoram,2020,4,1601490600000,1609093800000
mizoram,2021,1,1609439400000,1616869800000
mizoram,2021,2,1617215400000,1624818600000
mizoram,2021,3,1625077800000,1632767400000
mizoram,2021,4,1633026600000,1640629800000
mizoram,2022,1,1640975400000,1648405800000
mizoram,2022,2,1648751400000,1656354600000
mizoram,2022,3,1656613800000,1664303400000
mizoram,2022,4,1664562600000,1672165800000
nagaland,2018,1,1514745000000,1522175400000
nagaland,2018,2,1522521000000,1530124200000
nagaland,2018,3,1530383400000,1538073000000
nagaland,2018,4,1538332200000,1545935400000
nagaland,2019,1,1546281000000,1553711400000
nagaland,2019,2,1554057000000,1561660200000
nagaland,2019,3,1561919400000,1569609000000
nagaland,2019,4,1569868200000,1577471400000
nagaland,2020,1,1577817000000,1585333800000
nagaland,2020,2,1585679400000,1593282600000
nagaland,2020,3,1593541800000,1601231400000
nagaland,2020,4,1601490600000,1609093800000
nagaland,2021,1,1609439400000,1616869800000
nagaland,2021,2,1617215400000,1624818600000
nagaland,2021,3,1625077800000,1632767400000
nagaland,2021,4,1633026600000,1640629800000
nagaland,2022,1,1640975400000,1648405800000
nagaland,2022,2,1648751400000,1656354600000
nagaland,2022,3,1656613800000,1664303400000
nagaland,2022,4,1664562600000,1672165800000
odisha,2018,1,1514745000000,1522175400000
odisha,2018,2,1522521000000,1530124200000
odisha,2018,3,1530383400000,1538073000000
odisha,2018,4,1538332200000,1545935400000
odisha,2019,1,1546281000000,1553711400000
odisha,2019,2,1554057000000,1561660200000
odisha,2019,3,1561919400000,1569609000000
odisha,2019,4,1569868200000,1577471400000
odisha,2020,1,1577817000000,1585333800000
odisha,2020,2,1585679400000,1593282600000
odisha,2020,3,1593541800000,1601231400000
odisha,2020,4,1601490600000,1609093800000
odisha,2021,1,1609439400000,1616869800000
odisha,2021,2,1617215400000,1624818600000
odisha,2021,3,1625077800000,1632767400000
odisha,2021,4,1633026600000,1640629800000
odisha,2022,1,1640975400000,1648405800000
odisha,2022,2,1648751400000,1656354600000
odisha,2022,3,1656613800000,1664303400000
odisha,2022,4,1664562600000,1672165800000
puducherry,2018,1,1514745000000,1522175400000
puducherry,2018,2,1522521000000,1530124200000
puducherry,2018,3,1530383400000,1538073000000
puducherry,2018,4,1538332200000,1545935400000
puducherry,2019,1,1546281000000,1553711400000
puducherry,2019,2,1554057000000,1561660200000
puducherry,2019,3,1561919400000,1569609000000
puducherry,2019,4,1569868200000,1577471400000
puducherry,2020,1,1577817000000,1585333800000
puducherry,2020,2,1585679400000,1593282600000
puducherry,2020,3,1593541800000,1601231400000
puducherry,2020,4,1601490600000,1609093800000
puducherry,2021,1,1609439400000,1616869800000
puducherry,2021,2,1617215400000,1624818600000
puducherry,2021,3,1625077800000,1632767400000
puducherry,2021,4,1633026600000,1640629800000
puducherry,2022,1,1640975400000,1648405800000
puducherry,2022,2,1648751400000,1656354600000
puducherry,2022,3,1656613800000,1664303400000
puducherry,2022,4,1664562600000,1672165800000
punjab,2018,1,1514745000000,1522175400000
punjab,2018,2,1522521000000,1530124200000
punjab,2018,3,1530383400000,1538073000000
punjab,2018,4,1538332200000,1545935400000
punjab,2019,1,1546281000000,1553711400000
punjab,2019,2,1554057000000,1561660200000
punjab,2019,3,1561919400000,1569609000000
punjab,2019,4,1569868200000,1577471400000
punjab,2020,1,1577817000000,1585333800000
punjab,2020,2,1585679400000,1593282600000
punjab,2020,3,1593541800000,1601231400000
punjab,2020,4,1601490600000,1609093800000
punjab,2021,1,1609439400000,1616869800000
punjab,2021,2,1617215400000,1624818600000
punjab,2021,3,1625077800000,1632767400000
