Place Name,Total Transactions count,Total Amount,Quarter,Year,State
tamenglong district,11954,27326669.899029642,4,2019,manipur
kamjong district,1618,5668618.53808438,4,2019,manipur
chandel district,11650,30393939.8714514,4,2019,manipur
bishnupur district,31835,72704593.78015086,4,2019,manipur
senapati district,7994,15860386.82079871,4,2019,manipur
pherzawl district,537,1737007.4828713536,4,2019,manipur
churachandpur district,26420,76031748.45585427,4,2019,manipur
tengnoupal district,9616,28805257.52817887,4,2019,manipur
imphal west district,150073,445926296.0528502,4,2019,manipur
kangpokpi district,33643,81400323.90620552,1,2020,manipur
noney district,8941,23331883.38449249,1,2020,manipur
imphal east district,97573,222479758.42504123,1,2020,manipur
thoubal district,40558,92413414.3395817,1,2020,manipur
kakching district,16690,37525920.224365644,1,2020,manipur
jiribam district,8704,20332072.3920429,1,2020,manipur
ukhrul district,13355,30659040.231015503,1,2020,manipur
tamenglong district,14451,31491246.17045552,1,2020,manipur
kamjong district,2768,6910208.366847619,1,2020,manipur
chandel district,13716,31278977.085135244,1,2020,manipur
bishnupur district,40172,83818557.86725357,1,2020,manipur
senapati district,9922,18344875.73618003,1,2020,manipur
pherzawl district,982,1624394.409407775,1,2020,manipur
churachandpur district,33637,84566221.4462608,1,2020,manipur
tengnoupal district,12297,33219739.52686035,1,2020,manipur
imphal west district,471392,1799193747.3658042,1,2020,manipur
kangpokpi district,48617,105034881.0369594,2,2020,manipur
noney district,14604,44082720.74102519,2,2020,manipur
imphal east district,127255,269647863.435566,2,2020,manipur
thoubal district,66183,158615301.5132838,2,2020,manipur
kakching district,30404,53791181.45126964,2,2020,manipur
jiribam district,13861,28862256.51424871,2,2020,manipur
ukhrul district,24243,43560417.96634197,2,2020,manipur
tamenglong district,21294,47020896.803083815,2,2020,manipur
kamjong district,4430,11168145.84426119,2,2020,manipur
chandel district,21517,49008541.100852005,2,2020,manipur
bishnupur district,70841,142299534.9528148,2,2020,manipur
senapati district,17187,27792929.584587093,2,2020,manipur
pherzawl district,1363,4220742.5953207435,2,2020,manipur
churachandpur district,50818,128936170.2549285,2,2020,manipur
tengnoupal district,18676,50033115.3184253,2,2020,manipur
imphal west district,551775,2034861513.6925411,2,2020,manipur
kangpokpi district,56646,141494952.88474348,3,2020,manipur
noney district,12955,42576247.008017324,3,2020,manipur
imphal east district,148992,357420385.4660148,3,2020,manipur
thoubal district,75667,178314817.4095067,3,2020,manipur
kakching district,33268,72744605.62932977,3,2020,manipur
jiribam district,17173,44785891.804611705,3,2020,manipur
ukhrul district,27857,63120519.96337035,3,2020,manipur
tamenglong district,24595,57102594.74572652,3,2020,manipur
kamjong district,5040,16944663.48515765,3,2020,manipur
chandel district,25158,63504521.07112962,3,2020,manipur
bishnupur district,82097,178752852.0332132,3,2020,manipur
senapati district,22336,47618195.96020885,3,2020,manipur
pherzawl district,2016,4920973.997680077,3,2020,manipur
churachandpur district,61160,179008408.76793513,3,2020,manipur
tengnoupal district,19244,50761115.422037035,3,2020,manipur
imphal west district,805964,3116905375.221828,3,2020,manipur
kangpokpi district,74472,216458503.2885683,4,2020,manipur
noney district,14618,52819316.83640482,4,2020,manipur
imphal east district,179438,524041651.0001225,4,2020,manipur
thoubal district,87208,249311101.38298762,4,2020,manipur
kakching district,37180,96767393.90324816,4,2020,manipur
jiribam district,19898,56276520.99872882,4,2020,manipur
ukhrul district,32947,91688189.17603046,4,2020,manipur
tamenglong district,27674,77956516.78360562,4,2020,manipur
kamjong district,6676,21815826.79135724,4,2020,manipur
chandel district,31540,90473275.49273106,4,2020,manipur
bishnupur district,95869,267444206.3886954,4,2020,manipur
senapati district,27636,79537295.38666978,4,2020,manipur
pherzawl district,2329,4810299.528864712,4,2020,manipur
churachandpur district,71693,243354880.5430908,4,2020,manipur
tengnoupal district,23797,81989716.0059573,4,2020,manipur
imphal west district,894877,3447479864.951691,4,2020,manipur
kangpokpi district,63234,205050443.8236801,1,2021,manipur
noney district,12635,47249169.68840321,1,2021,manipur
imphal east district,161841,530028907.0928848,1,2021,manipur
thoubal district,72593,240713473.6681419,1,2021,manipur
kakching district,29803,92307870.36114596,1,2021,manipur
jiribam district,16697,58448279.737162024,1,2021,manipur
ukhrul district,22415,68745913.46443734,1,2021,manipur
tamenglong district,20962,72960342.05136192,1,2021,manipur
kamjong district,6312,24926447.76105148,1,2021,manipur
chandel district,23884,80445733.20656839,1,2021,manipur
bishnupur district,73777,255486792.7272072,1,2021,manipur
senapati district,22025,73777202.5143657,1,2021,manipur
pherzawl district,1714,4788028.467703758,1,2021,manipur
churachandpur district,62755,250250943.4094815,1,2021,manipur
tengnoupal district,19430,102554591.1971744,1,2021,manipur
imphal west district,1693458,4962553375.308464,1,2021,manipur
kangpokpi district,78765,236369410.09906262,2,2021,manipur
noney district,13296,49460189.27496501,2,2021,manipur
imphal east district,179337,491977805.97917175,2,2021,manipur
thoubal district,91264,268514237.4881531,2,2021,manipur
kakching district,37444,92311646.34027097,2,2021,manipur
jiribam district,21823,67560643.64335921,2,2021,manipur
ukhrul district,28524,81225585.7217874,2,2021,manipur
tamenglong district,24852,77929754.45097202,2,2021,manipur
kamjong district,6983,31394830.19574834,2,2021,manipur
chandel district,29178,90054101.93360363,2,2021,manipur
bishnupur district,89095,260900495.16290623,2,2021,manipur
senapati district,25681,70219657.8819672,2,2021,manipur
pherzawl district,1842,5443830.799674254,2,2021,manipur
churachandpur district,80524,273962339.39499444,2,2021,manipur
tengnoupal district,23771,94806974.44450317,2,2021,manipur
imphal west district,2353896,5697696459.585503,2,2021,manipur
kangpokpi district,94883,299760833.4043892,3,2021,manipur
noney district,16371,63161488.24690457,3,2021,manipur
imphal east district,226128,705081475.2381085,3,2021,manipur
thoubal district,113257,363547884.1177802,3,2021,manipur
kakching district,44277,128692670.008053,3,2021,manipur
jiribam district,26615,80773937.39020778,3,2021,manipur
ukhrul district,35250,118509943.9038784,3,2021,manipur
tamenglong district,33266,108769884.2048046,3,2021,manipur
kamjong district,7567,32384455.496498212,3,2021,manipur
chandel district,36126,116052040.7894788,3,2021,manipur
bishnupur district,104901,320379628.19769484,3,2021,manipur
senapati district,30580,94805880.65418251,3,2021,manipur
pherzawl district,2176,6654015.070624737,3,2021,manipur
churachandpur district,109913,397548796.56202096,3,2021,manipur
tengnoupal district,32351,133669134.5931719,3,2021,manipur
imphal west district,3027735,7437068961.027055,3,2021,manipur
kangpokpi district,107329,318563859.8204655,4,2021,manipur
noney district,18970,68519523.59000592,4,2021,manipur
imphal east district,268205,853764884.9988655,4,2021,manipur
thoubal district,130316,393043161.28167003,4,2021,manipur
kakching district,43224,130159064.31913412,4,2021,manipur
jiribam district,30742,97241435.32166685,4,2021,manipur
ukhrul district,38665,142778895.310459,4,2021,manipur
tamenglong district,40279,140792582.9323008,4,2021,manipur
kamjong district,8685,32152837.655377,4,2021,manipur
chandel district,39891,131651667.09783672,4,2021,manipur
bishnupur district,113386,369885898.8351996,4,2021,manipur
senapati district,33983,119108747.24317981,4,2021,manipur
pherzawl district,2553,4851553.5065681385,4,2021,manipur
churachandpur district,121140,446895232.6851511,4,2021,manipur
tengnoupal district,40383,154956864.2361688,4,2021,manipur
imphal west district,3649688,9254105829.377777,4,2021,manipur
kangpokpi district,120614,361422857.4778744,1,2022,manipur
noney district,21683,81975537.65019314,1,2022,manipur
imphal east district,298053,926298622.7916505,1,2022,manipur
thoubal district,159443,465999965.9324683,1,2022,manipur
kakching district,45714,129009720.3630175,1,2022,manipur
jiribam district,33214,106952141.35335831,1,2022,manipur
ukhrul district,45977,163211543.8876433,1,2022,manipur
tamenglong district,53325,182059187.8775179,1,2022,manipur
kamjong district,10050,38396927.57850355,1,2022,manipur
chandel district,46964,156821048.3314056,1,2022,manipur
bishnupur district,129775,410979761.5959294,1,2022,manipur
senapati district,41815,150533112.28282663,1,2022,manipur
pherzawl district,3014,6196514.84182024,1,2022,manipur
churachandpur district,132079,478282953.14129984,1,2022,manipur
tengnoupal district,42399,154983910.95505172,1,2022,manipur
imphal west district,4129560,10331377272.313229,1,2022,manipur
kangpokpi district,127346,360381229.2430087,2,2022,manipur
noney district,23197,84254940.12916884,2,2022,manipur
imphal east district,334382,1017003992.8811901,2,2022,manipur
thoubal district,179962,489921006.2514488,2,2022,manipur
kakching district,45754,124881636.1664599,2,2022,manipur
jiribam district,32691,103428721.09010841,2,2022,manipur
ukhrul district,48388,165524493.50724018,2,2022,manipur
tamenglong district,48779,158669784.21199042,2,2022,manipur
kamjong district,10915,37728133.78568862,2,2022,manipur
chandel district,44845,161255425.28835762,2,2022,manipur
bishnupur district,132234,427663723.98262036,2,2022,manipur
senapati district,43777,137415599.8970158,2,2022,manipur
pherzawl district,2855,8843983.191407474,2,2022,manipur
churachandpur district,130821,445674066.47566885,2,2022,manipur
tengnoupal district,41686,165158485.2610599,2,2022,manipur
imphal west district,4858000,11035105413.78687,2,2022,manipur
kangpokpi district,137088,382055039.8651606,3,2022,manipur
noney district,24931,85439369.23237865,3,2022,manipur
imphal east district,401052,1106024473.265097,3,2022,manipur
thoubal district,198398,502784611.8050358,3,2022,manipur
kakching district,114178,269711112.4549243,3,2022,manipur
jiribam district,39634,115824259.8786857,3,2022,manipur
ukhrul district,48127,165404721.9164956,3,2022,manipur
tamenglong district,48889,150947198.9523353,3,2022,manipur
kamjong district,10597,34540807.45741892,3,2022,manipur
chandel district,43042,139937266.69668728,3,2022,manipur
bishnupur district,126573,397535713.95992273,3,2022,manipur
senapati district,46116,141106697.6418018,3,2022,manipur
pherzawl district,3137,8974350.656289712,3,2022,manipur
churachandpur district,200968,560754898.7150536,3,2022,manipur
tengnoupal district,44324,167247032.0149524,3,2022,manipur
imphal west district,4865688,11153142712.787481,3,2022,manipur
kangpokpi district,195796,499527018.9345386,4,2022,manipur
noney district,26985,75780551.02724609,4,2022,manipur
imphal east district,417476,1124061241.845398,4,2022,manipur
thoubal district,252156,642341521.1672155,4,2022,manipur
kakching district,205827,477287512.8489387,4,2022,manipur
jiribam district,43510,122910899.3036135,4,2022,manipur
ukhrul district,48379,164810102.766275,4,2022,manipur
tamenglong district,51040,160602196.99791262,4,2022,manipur
kamjong district,12943,35804745.19811843,4,2022,manipur
chandel district,45646,133101652.3013483,4,2022,manipur
bishnupur district,134155,398215642.6664851,4,2022,manipur
senapati district,63745,180730794.84235078,4,2022,manipur
pherzawl district,3998,12008369.412046429,4,2022,manipur
churachandpur district,139622,418292018.1391273,4,2022,manipur
tengnoupal district,49553,175755833.19199598,4,2022,manipur
imphal west district,4737839,11004726597.69887,4,2022,manipur
north garo hills district,922,652554.6654640209,1,2018,meghalaya
south west khasi hills district,319,489330.8331522482,1,2018,meghalaya
west garo hills district,7660,9199200.848858135,1,2018,meghalaya
south garo hills district,705,807410.0407250253,1,2018,meghalaya
east jaintia hills district,4896,8299361.376028441,1,2018,meghalaya
south west garo hills district,798,1015597.2351604333,1,2018,meghalaya
east khasi hills district,23283,31807959.17537334,1,2018,meghalaya
east garo hills district,749,781579.3759249721,1,2018,meghalaya
ribhoi district,6029,8736566.953918608,1,2018,meghalaya
west jaintia hills district,3131,2812937.948004551,1,2018,meghalaya
west khasi hills district,1079,1647761.3372907462,1,2018,meghalaya
north garo hills district,1403,1278347.188045342,2,2018,meghalaya
south west khasi hills district,396,311487.1929993931,2,2018,meghalaya
west garo hills district,10651,19685429.15426454,2,2018,meghalaya
south garo hills district,1103,1553253.9322072896,2,2018,meghalaya
east jaintia hills district,6004,13059945.84304524,2,2018,meghalaya
south west garo hills district,1767,1724404.6747075585,2,2018,meghalaya
east khasi hills district,33966,61180700.479729906,2,2018,meghalaya
east garo hills district,832,1032161.1690227182,2,2018,meghalaya
ribhoi district,8761,14181827.91983224,2,2018,meghalaya
west jaintia hills district,2232,2312980.3326936862,2,2018,meghalaya
west khasi hills district,742,684129.9552836155,2,2018,meghalaya
north garo hills district,2271,1976480.2056813869,3,2018,meghalaya
south west khasi hills district,1032,1016289.6491765348,3,2018,meghalaya
west garo hills district,17911,31488596.439377252,3,2018,meghalaya
south garo hills district,2110,2467349.2565310476,3,2018,meghalaya
east jaintia hills district,11397,22683448.874125842,3,2018,meghalaya
south west garo hills district,2740,4294444.447825844,3,2018,meghalaya
east khasi hills district,54015,111173160.2625644,3,2018,meghalaya
east garo hills district,1323,1963470.7809556075,3,2018,meghalaya
ribhoi district,13023,26072883.30165547,3,2018,meghalaya
west jaintia hills district,3240,4571330.11958733,3,2018,meghalaya
west khasi hills district,1228,2146208.196912882,3,2018,meghalaya
north garo hills district,4011,4590211.2600644585,4,2018,meghalaya
south west khasi hills district,1518,2669874.2649973836,4,2018,meghalaya
west garo hills district,29000,52674487.37349704,4,2018,meghalaya
south garo hills district,3037,6001319.0968858795,4,2018,meghalaya
east jaintia hills district,20614,37885027.67424764,4,2018,meghalaya
south west garo hills district,3950,4531236.407859931,4,2018,meghalaya
east khasi hills district,70386,167808906.7795516,4,2018,meghalaya
east garo hills district,2808,5832920.4836901445,4,2018,meghalaya
ribhoi district,18294,42066652.87282289,4,2018,meghalaya
west jaintia hills district,4693,7562803.76113517,4,2018,meghalaya
west khasi hills district,2821,5962239.029920495,4,2018,meghalaya
north garo hills district,3816,4016398.1062618718,1,2019,meghalaya
south west khasi hills district,1267,2118829.321976449,1,2019,meghalaya
west garo hills district,30087,58548564.168713726,1,2019,meghalaya
south garo hills district,3146,7486873.33081286,1,2019,meghalaya
east jaintia hills district,25054,46007520.563186996,1,2019,meghalaya
south west garo hills district,3819,4558241.545395774,1,2019,meghalaya
east khasi hills district,101662,201352082.70276007,1,2019,meghalaya
east garo hills district,3529,6495149.290021526,1,2019,meghalaya
ribhoi district,27304,55813436.16699861,1,2019,meghalaya
west jaintia hills district,5411,7594602.551824972,1,2019,meghalaya
west khasi hills district,3646,5045464.405482588,1,2019,meghalaya
north garo hills district,3804,4329558.19180281,2,2019,meghalaya
south west khasi hills district,1152,2679006.93031867,2,2019,meghalaya
west garo hills district,32077,70701852.43602182,2,2019,meghalaya
south garo hills district,3048,7076537.051932728,2,2019,meghalaya
east jaintia hills district,21325,43624217.35616366,2,2019,meghalaya
south west garo hills district,4563,6981663.150095232,2,2019,meghalaya
east khasi hills district,126665,274701980.6037081,2,2019,meghalaya
east garo hills district,3926,6785815.738085165,2,2019,meghalaya
ribhoi district,27488,61625177.51082604,2,2019,meghalaya
west jaintia hills district,5226,9713762.898637522,2,2019,meghalaya
west khasi hills district,3012,4711717.239687435,2,2019,meghalaya
north garo hills district,6329,7479871.090316384,3,2019,meghalaya
south west khasi hills district,2009,2418047.871266484,3,2019,meghalaya
west garo hills district,45652,90390851.32626869,3,2019,meghalaya
south garo hills district,4768,7846736.258536675,3,2019,meghalaya
east jaintia hills district,28604,50090916.581640005,3,2019,meghalaya
south west garo hills district,6405,9676872.049848383,3,2019,meghalaya
east khasi hills district,156970,344129503.4634751,3,2019,meghalaya
east garo hills district,5970,8134689.123280492,3,2019,meghalaya
ribhoi district,36292,73979318.03570686,3,2019,meghalaya
west jaintia hills district,8947,11292434.23987686,3,2019,meghalaya
west khasi hills district,4604,6779362.1133165285,3,2019,meghalaya
north garo hills district,8449,11018090.11324269,4,2019,meghalaya
south west khasi hills district,2753,4185672.1333535854,4,2019,meghalaya
west garo hills district,51137,104063298.1853753,4,2019,meghalaya
south garo hills district,7020,9901296.404344358,4,2019,meghalaya
east jaintia hills district,31575,61615652.49744396,4,2019,meghalaya
south west garo hills district,7301,11722163.479435438,4,2019,meghalaya
east khasi hills district,189936,413649820.03102624,4,2019,meghalaya
east garo hills district,7811,11523924.1048165,4,2019,meghalaya
ribhoi district,42953,90622918.2855494,4,2019,meghalaya
west jaintia hills district,11750,16126169.37307124,4,2019,meghalaya
west khasi hills district,5296,8007467.18256015,4,2019,meghalaya
north garo hills district,9622,11664668.29142583,1,2020,meghalaya
south west khasi hills district,3516,5420604.457110439,1,2020,meghalaya
west garo hills district,65263,130098803.74893941,1,2020,meghalaya
south garo hills district,10483,11902327.50751782,1,2020,meghalaya
east jaintia hills district,36855,76021760.04400355,1,2020,meghalaya
south west garo hills district,10582,14322530.89024009,1,2020,meghalaya
east khasi hills district,280817,712010339.1765578,1,2020,meghalaya
east garo hills district,10003,15050504.87949769,1,2020,meghalaya
ribhoi district,51789,109400759.4666921,1,2020,meghalaya
west jaintia hills district,15784,22057088.945124794,1,2020,meghalaya
west khasi hills district,7569,12185453.50070402,1,2020,meghalaya
north garo hills district,19393,16949021.84509483,2,2020,meghalaya
south west khasi hills district,5952,5344985.9066313775,2,2020,meghalaya
west garo hills district,107355,178844205.7463917,2,2020,meghalaya
south garo hills district,15934,18498464.712551523,2,2020,meghalaya
east jaintia hills district,50077,79110098.89726548,2,2020,meghalaya
south west garo hills district,20761,21835410.253734987,2,2020,meghalaya
east khasi hills district,294655,669450297.8938913,2,2020,meghalaya
east garo hills district,19865,19379120.25893038,2,2020,meghalaya
ribhoi district,60451,108416383.15117331,2,2020,meghalaya
west jaintia hills district,26041,22356066.44251103,2,2020,meghalaya
west khasi hills district,14911,13551099.23022138,2,2020,meghalaya
north garo hills district,17943,23618250.65693206,3,2020,meghalaya
south west khasi hills district,5942,8330565.372560624,3,2020,meghalaya
west garo hills district,117550,249575864.65120548,3,2020,meghalaya
south garo hills district,17171,23368652.179516587,3,2020,meghalaya
east jaintia hills district,52534,99669877.91499354,3,2020,meghalaya
south west garo hills district,19536,31848167.46098628,3,2020,meghalaya
east khasi hills district,239307,571789473.6065949,3,2020,meghalaya
east garo hills district,19353,30405909.146166403,3,2020,meghalaya
ribhoi district,64590,138771339.6540833,3,2020,meghalaya
west jaintia hills district,28622,39860361.23642549,3,2020,meghalaya
west khasi hills district,15031,19820539.503571283,3,2020,meghalaya
north garo hills district,22048,36801863.778283074,4,2020,meghalaya
south west khasi hills district,7330,18169052.92234368,4,2020,meghalaya
west garo hills district,149536,362364387.9674451,4,2020,meghalaya
south garo hills district,22487,34586748.62670687,4,2020,meghalaya
east jaintia hills district,65059,162952261.01543322,4,2020,meghalaya
south west garo hills district,24078,49584665.87626748,4,2020,meghalaya
east khasi hills district,298622,777719090.1611657,4,2020,meghalaya
east garo hills district,23262,41847990.16447668,4,2020,meghalaya
ribhoi district,90879,223682008.0301527,4,2020,meghalaya
west jaintia hills district,32267,55102701.17496341,4,2020,meghalaya
west khasi hills district,18440,41431802.48173465,4,2020,meghalaya
north garo hills district,18850,37908696.16305937,1,2021,meghalaya
south west khasi hills district,6212,18881726.27814512,1,2021,meghalaya
west garo hills district,133362,370492803.5429464,1,2021,meghalaya
south garo hills district,19054,44351833.9562286,1,2021,meghalaya
east jaintia hills district,70732,205454314.7964044,1,2021,meghalaya
south west garo hills district,18591,41861206.69737828,1,2021,meghalaya
east khasi hills district,322156,915771307.2291535,1,2021,meghalaya
east garo hills district,18473,40212217.237080485,1,2021,meghalaya
ribhoi district,98957,266571316.12978172,1,2021,meghalaya
west jaintia hills district,24312,53826602.11269104,1,2021,meghalaya
west khasi hills district,16947,60183253.846965134,1,2021,meghalaya
north garo hills district,25028,37984069.23193223,2,2021,meghalaya
south west khasi hills district,7218,17922261.88644618,2,2021,meghalaya
west garo hills district,174186,437555569.84538835,2,2021,meghalaya
south garo hills district,21894,48819031.95729189,2,2021,meghalaya
east jaintia hills district,87223,205906820.910982,2,2021,meghalaya
south west garo hills district,24491,47526700.898553595,2,2021,meghalaya
east khasi hills district,386773,994348113.9313933,2,2021,meghalaya
east garo hills district,24431,42603145.83447135,2,2021,meghalaya
ribhoi district,111231,265892507.53668693,2,2021,meghalaya
west jaintia hills district,30529,53732989.3560653,2,2021,meghalaya
west khasi hills district,16590,41326043.50138933,2,2021,meghalaya
north garo hills district,30790,56346103.94114271,3,2021,meghalaya
south west khasi hills district,8524,20862237.488949507,3,2021,meghalaya
west garo hills district,207635,550868915.1603698,3,2021,meghalaya
south garo hills district,23378,50417337.27842516,3,2021,meghalaya
east jaintia hills district,103142,254116660.0241707,3,2021,meghalaya
south west garo hills district,28662,59140851.35546415,3,2021,meghalaya
east khasi hills district,475308,1267820067.264946,3,2021,meghalaya
east garo hills district,29654,54695590.9177565,3,2021,meghalaya
ribhoi district,135524,337135306.8313167,3,2021,meghalaya
west jaintia hills district,37590,71888903.26179789,3,2021,meghalaya
west khasi hills district,17524,45708478.00363463,3,2021,meghalaya
north garo hills district,38565,88113799.75521982,4,2021,meghalaya
south west khasi hills district,12151,47472032.66584644,4,2021,meghalaya
west garo hills district,261543,746098768.1324025,4,2021,meghalaya
south garo hills district,28989,89662812.0439802,4,2021,meghalaya
east jaintia hills district,140522,371541323.5123424,4,2021,meghalaya
south west garo hills district,35153,76249072.06112294,4,2021,meghalaya
east khasi hills district,602012,1647841435.793727,4,2021,meghalaya
east garo hills district,37744,79675265.12123142,4,2021,meghalaya
ribhoi district,210094,495239611.12453955,4,2021,meghalaya
west jaintia hills district,43460,98276171.06270258,4,2021,meghalaya
west khasi hills district,29960,108595108.913038,4,2021,meghalaya
north garo hills district,42030,87894203.47088854,1,2022,meghalaya
south west khasi hills district,14208,62450373.141422085,1,2022,meghalaya
west garo hills district,325791,991586557.2279948,1,2022,meghalaya
south garo hills district,43827,166412749.63292432,1,2022,meghalaya
east jaintia hills district,169484,496156278.43872654,1,2022,meghalaya
south west garo hills district,39644,98249285.49958463,1,2022,meghalaya
east khasi hills district,653082,1762837936.312902,1,2022,meghalaya
east garo hills district,42878,97659034.30770612,1,2022,meghalaya
ribhoi district,257923,624403404.8028624,1,2022,meghalaya
west jaintia hills district,49196,126597671.42735201,1,2022,meghalaya
west khasi hills district,36687,148090837.0695271,1,2022,meghalaya
north garo hills district,44965,92496675.79074751,2,2022,meghalaya
south west khasi hills district,13571,49978363.076969974,2,2022,meghalaya
west garo hills district,392151,1150602954.638953,2,2022,meghalaya
south garo hills district,33680,92292848.0663783,2,2022,meghalaya
east jaintia hills district,193196,502640751.7922024,2,2022,meghalaya
south west garo hills district,43006,118240788.9357543,2,2022,meghalaya
east khasi hills district,853333,2156500112.108344,2,2022,meghalaya
east garo hills district,46150,106793207.7940663,2,2022,meghalaya
ribhoi district,337102,755786725.0698186,2,2022,meghalaya
west jaintia hills district,56272,152394109.7280838,2,2022,meghalaya
west khasi hills district,31223,103764884.8834742,2,2022,meghalaya
north garo hills district,48727,107884419.5564478,3,2022,meghalaya
south west khasi hills district,13340,47102262.07706757,3,2022,meghalaya
west garo hills district,508052,1283479556.413095,3,2022,meghalaya
south garo hills district,35206,88310719.84102406,3,2022,meghalaya
east jaintia hills district,241204,633317484.075039,3,2022,meghalaya
south west garo hills district,48898,121831916.0453497,3,2022,meghalaya
east khasi hills district,2924522,6137770373.209272,3,2022,meghalaya
east garo hills district,47047,99390252.25463584,3,2022,meghalaya
ribhoi district,400075,825278960.5336027,3,2022,meghalaya
west jaintia hills district,62798,171112837.01348782,3,2022,meghalaya
west khasi hills district,29296,87822016.10251653,3,2022,meghalaya
north garo hills district,59149,130072498.39208941,4,2022,meghalaya
south west khasi hills district,16773,61873256.010638215,4,2022,meghalaya
west garo hills district,612945,1565478827.2720141,4,2022,meghalaya
south garo hills district,47478,134393051.3773939,4,2022,meghalaya
east jaintia hills district,252554,698736182.2686266,4,2022,meghalaya
south west garo hills district,59231,150334364.8598402,4,2022,meghalaya
east khasi hills district,2285868,4886013367.030626,4,2022,meghalaya
east garo hills district,59445,143293321.81485862,4,2022,meghalaya
ribhoi district,416100,855262410.3336376,4,2022,meghalaya
west jaintia hills district,81501,229129661.89603102,4,2022,meghalaya
west khasi hills district,41404,141954215.0929066,4,2022,meghalaya
serchhip district,691,1729998.4078016216,1,2018,mizoram
aizawl district,12006,27918980.947612703,1,2018,mizoram
lunglei district,1604,2350555.3184242332,1,2018,mizoram
mamit district,1133,5729263.410353888,1,2018,mizoram
lawngtlai district,735,547180.2110017058,1,2018,mizoram
kolasib district,1457,3891685.392413744,1,2018,mizoram
champhai district,453,871005.7153709702,1,2018,mizoram
saiha district,482,2188550.572811981,1,2018,mizoram
serchhip district,1237,3831939.5692156893,2,2018,mizoram
aizawl district,16353,48340497.162337765,2,2018,mizoram
lunglei district,3249,6814747.054434758,2,2018,mizoram
mamit district,1813,10477582.99037601,2,2018,mizoram
lawngtlai district,627,1375226.7520610169,2,2018,mizoram
kolasib district,2092,5117340.437229811,2,2018,mizoram
champhai district,834,2204311.92373675,2,2018,mizoram
saiha district,846,5346759.668342534,2,2018,mizoram
serchhip district,2133,6572902.580575922,3,2018,mizoram
aizawl district,24199,72031541.21772185,3,2018,mizoram
lunglei district,4716,12189472.093972271,3,2018,mizoram
mamit district,2247,5446959.531490731,3,2018,mizoram
lawngtlai district,1231,3422241.331497662,3,2018,mizoram
kolasib district,2631,6563816.625400645,3,2018,mizoram
champhai district,1099,4369317.524420092,3,2018,mizoram
saiha district,1060,6004487.220311114,3,2018,mizoram
serchhip district,2830,9311124.6379363,4,2018,mizoram
aizawl district,31828,114757156.94930999,4,2018,mizoram
lunglei district,6349,20867419.80003755,4,2018,mizoram
mamit district,4168,12100776.51194083,4,2018,mizoram
lawngtlai district,2341,5862745.984908307,4,2018,mizoram
kolasib district,4701,13882638.97537515,4,2018,mizoram
champhai district,1726,6092672.776851988,4,2018,mizoram
saiha district,1299,7552316.893169428,4,2018,mizoram
serchhip district,2964,9972286.162915044,1,2019,mizoram
aizawl district,40608,125499167.45130551,1,2019,mizoram
lunglei district,8092,24562628.04677686,1,2019,mizoram
mamit district,5400,15141345.457853131,1,2019,mizoram
lawngtlai district,3749,12077236.04176996,1,2019,mizoram
kolasib district,5590,15775791.30852553,1,2019,mizoram
champhai district,1865,6683655.297350604,1,2019,mizoram
saiha district,2038,8448785.630905889,1,2019,mizoram
serchhip district,2917,10740915.810445419,2,2019,mizoram
aizawl district,45257,147150855.4335745,2,2019,mizoram
lunglei district,8919,29564431.131805923,2,2019,mizoram
mamit district,5047,15936975.402700381,2,2019,mizoram
lawngtlai district,4502,12828264.16579302,2,2019,mizoram
kolasib district,5077,15941097.79665649,2,2019,mizoram
champhai district,2055,7970010.188288981,2,2019,mizoram
saiha district,1897,7884158.20574963,2,2019,mizoram
serchhip district,4389,12447829.176727349,3,2019,mizoram
aizawl district,54796,162632861.96810922,3,2019,mizoram
lunglei district,13305,34090897.89113889,3,2019,mizoram
mamit district,6296,14161494.18752773,3,2019,mizoram
lawngtlai district,6097,14593963.45583861,3,2019,mizoram
kolasib district,6977,17976086.41167679,3,2019,mizoram
champhai district,3512,12151523.03887969,3,2019,mizoram
saiha district,2722,10739243.82144364,3,2019,mizoram
serchhip district,5889,15064874.565576471,4,2019,mizoram
aizawl district,68532,215337713.3484954,4,2019,mizoram
lunglei district,15344,42919898.693862505,4,2019,mizoram
mamit district,8468,16925628.216343682,4,2019,mizoram
lawngtlai district,8069,22279514.789250817,4,2019,mizoram
kolasib district,11051,24470971.73397691,4,2019,mizoram
champhai district,4878,17885681.11019664,4,2019,mizoram
saiha district,3008,13805068.17678567,4,2019,mizoram
serchhip district,7512,15256865.2400799,1,2020,mizoram
aizawl district,78597,215534588.0542435,1,2020,mizoram
lunglei district,19703,47052524.734837465,1,2020,mizoram
mamit district,12136,21524123.96264601,1,2020,mizoram
lawngtlai district,13887,31918357.19026942,1,2020,mizoram
kolasib district,11386,26364756.939303108,1,2020,mizoram
champhai district,6269,19712814.74999166,1,2020,mizoram
saiha district,4119,14713548.4782659,1,2020,mizoram
serchhip district,10425,19459795.69098445,2,2020,mizoram
aizawl district,93369,238637352.52940083,2,2020,mizoram
lunglei district,27260,60375778.3281481,2,2020,mizoram
mamit district,15352,24755549.9649563,2,2020,mizoram
lawngtlai district,22369,44085859.53881077,2,2020,mizoram
kolasib district,14432,29350410.44476999,2,2020,mizoram
